epoch	 loss	 RMSE_Etot	 RMSE_Ei	 RMSE_F	 real_lr	 epoch_time	 wall_time
1 1.016676e+01 9.854099e+00 0.000000e+00 3.126629e-01 1.000000e-03 47.01434826850891 47.02812123298645
2 2.482519e+00 2.348834e+00 0.000000e+00 1.336850e-01 9.500064e-04 30.57244610786438 77.74154615402222
3 1.902277e+00 1.781321e+00 0.000000e+00 1.209557e-01 9.500064e-04 30.754394054412842 108.53712868690491
4 2.210291e+00 2.098447e+00 0.000000e+00 1.118443e-01 9.500064e-04 31.699747562408447 140.28081560134888
5 2.737937e+00 2.633683e+00 0.000000e+00 1.042544e-01 9.500064e-04 30.948960781097412 171.25907015800476
6 1.936186e+00 1.836195e+00 0.000000e+00 9.999125e-02 9.500064e-04 30.442965745925903 201.73488354682922
7 1.506287e+00 1.411143e+00 0.000000e+00 9.514413e-02 9.500064e-04 30.627671241760254 232.3917200565338
8 1.540015e+00 1.447156e+00 0.000000e+00 9.285837e-02 9.500064e-04 30.71743130683899 263.1488313674927
9 1.514193e+00 1.421879e+00 0.000000e+00 9.231365e-02 9.500064e-04 30.770426988601685 293.948349237442
10 1.611618e+00 1.521485e+00 0.000000e+00 9.013382e-02 9.500064e-04 30.47723889350891 324.4576714038849
11 1.533492e+00 1.444317e+00 0.000000e+00 8.917473e-02 9.500064e-04 30.56123447418213 355.0486738681793
12 1.261098e+00 1.173381e+00 0.000000e+00 8.771639e-02 9.500064e-04 30.19776749610901 385.2759253978729
13 1.152667e+00 1.066286e+00 0.000000e+00 8.638134e-02 9.500064e-04 30.700674533843994 416.0212595462799
14 1.481243e+00 1.390522e+00 0.000000e+00 9.072142e-02 9.500064e-04 32.1291298866272 448.1938388347626
15 1.155466e+00 1.070940e+00 0.000000e+00 8.452592e-02 9.500064e-04 31.081695318222046 479.3067739009857
16 1.349854e+00 1.265216e+00 0.000000e+00 8.463732e-02 9.500064e-04 30.395707845687866 509.73361563682556
17 1.395885e+00 1.312928e+00 0.000000e+00 8.295697e-02 9.500064e-04 30.463831663131714 540.2279782295227
18 9.303611e-01 8.478683e-01 0.000000e+00 8.249276e-02 9.500064e-04 30.28832459449768 570.5486953258514
19 1.145381e+00 1.064382e+00 0.000000e+00 8.099882e-02 9.500064e-04 30.287967681884766 600.8804647922516
20 1.306763e+00 1.226100e+00 0.000000e+00 8.066332e-02 9.500064e-04 30.189800262451172 631.102311372757
21 1.255882e+00 1.176699e+00 0.000000e+00 7.918299e-02 9.025122e-04 30.241406202316284 661.3745949268341
22 1.411406e+00 1.332181e+00 0.000000e+00 7.922458e-02 9.025122e-04 30.833730697631836 692.2447698116302
23 1.480313e+00 1.402225e+00 0.000000e+00 7.808850e-02 9.025122e-04 30.83420443534851 723.1088418960571
24 1.401858e+00 1.324249e+00 0.000000e+00 7.760946e-02 9.025122e-04 30.740720748901367 753.8838062286377
25 2.862383e+00 2.783624e+00 0.000000e+00 7.875922e-02 9.025122e-04 32.92620658874512 786.8409514427185
26 1.240349e+00 1.164807e+00 0.000000e+00 7.554153e-02 9.025122e-04 35.97779321670532 822.8503262996674
27 1.452050e+00 1.376848e+00 0.000000e+00 7.520124e-02 9.025122e-04 31.115045070648193 853.9958486557007
28 1.509884e+00 1.434843e+00 0.000000e+00 7.504106e-02 9.025122e-04 30.608535766601562 884.63547539711
29 1.218769e+00 1.144470e+00 0.000000e+00 7.429865e-02 9.025122e-04 30.52642512321472 915.193922996521
30 1.413474e+00 1.339376e+00 0.000000e+00 7.409851e-02 9.025122e-04 30.58406376838684 945.8104312419891
31 1.618701e+00 1.546047e+00 0.000000e+00 7.265411e-02 9.025122e-04 30.281988620758057 976.1226260662079
32 1.439760e+00 1.366527e+00 0.000000e+00 7.323316e-02 9.025122e-04 30.39508318901062 1006.549103975296
33 1.277841e+00 1.205552e+00 0.000000e+00 7.228870e-02 9.025122e-04 30.557442665100098 1037.1392736434937
34 1.343756e+00 1.271750e+00 0.000000e+00 7.200682e-02 9.025122e-04 30.38290023803711 1067.5523908138275
35 1.505373e+00 1.434079e+00 0.000000e+00 7.129313e-02 9.025122e-04 30.637972354888916 1098.224330663681
36 1.528524e+00 1.456056e+00 0.000000e+00 7.246728e-02 9.025122e-04 30.516030073165894 1128.7723109722137
37 9.727912e-01 9.024246e-01 0.000000e+00 7.036661e-02 9.025122e-04 30.75969910621643 1159.5615937709808
38 1.129095e+00 1.058590e+00 0.000000e+00 7.050436e-02 9.025122e-04 30.5653293132782 1190.1512968540192
39 1.345988e+00 1.275716e+00 0.000000e+00 7.027215e-02 9.025122e-04 30.450648069381714 1220.6264345645905
40 9.069278e-01 8.365525e-01 0.000000e+00 7.037534e-02 9.025122e-04 30.556119918823242 1251.21529006958
41 1.189014e+00 1.118922e+00 0.000000e+00 7.009236e-02 8.573924e-04 30.518977642059326 1281.7753472328186
42 1.097175e+00 1.028320e+00 0.000000e+00 6.885473e-02 8.573924e-04 30.09441900253296 1311.8997406959534
43 1.018852e+00 9.498481e-01 0.000000e+00 6.900400e-02 8.573924e-04 30.80491828918457 1342.737058877945
44 1.400386e+00 1.330389e+00 0.000000e+00 6.999681e-02 8.573924e-04 31.017473697662354 1373.7851445674896
45 9.192950e-01 8.510832e-01 0.000000e+00 6.821187e-02 8.573924e-04 30.506324768066406 1404.3247241973877
46 9.792267e-01 9.096457e-01 0.000000e+00 6.958106e-02 8.573924e-04 30.597071647644043 1434.949955701828
